Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Make_mean_encoded
FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182,192.24657534246575
FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166,192.24657534246575
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182,192.24657534246575
FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156,192.24657534246575
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,A6,X,9.6,7.3,8.6,33,198,192.24657534246575
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,A6,X,9.6,7.3,8.6,33,198,192.24657534246575
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,A6,X,9.6,7.3,8.6,33,198,192.24657534246575
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,192.24657534246575
FIAT,500L,STATION WAGON - SMALL,1.4,4,A6,X,10.6,7.8,9.4,30,216,192.24657534246575
FIAT,500L,STATION WAGON - SMALL,1.4,4,AM6,X,9.9,7.2,8.7,32,200,192.24657534246575
FIAT,500L,STATION WAGON - SMALL,1.4,4,M6,X,9.3,7.1,8.3,34,191,192.24657534246575
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,X,5.6,6.4,6.0,47,138,260.9888535031847
FORD,EDGE,SUV - SMALL,2.0,4,AS6,X,11.5,7.8,9.8,29,225,260.9888535031847
FORD,EDGE (Start/Stop),SUV - SMALL,2.0,4,AS6,X,11.3,7.9,9.8,29,225,260.9888535031847
FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,13.2,9.0,11.3,25,260,260.9888535031847
FORD,EDGE AWD,SUV - SMALL,2.0,4,AS6,X,11.8,8.4,10.3,27,237,260.9888535031847
FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.7,9.6,11.8,24,271,260.9888535031847
FORD,EDGE SPORT AWD,SUV - SMALL,2.7,6,AS6,X,13.6,9.8,11.9,24,274,260.9888535031847
FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.0,31,207,260.9888535031847
FORD,ESCAPE,SUV - SMALL,2.0,4,AS6,X,10.9,8.0,9.6,29,221,260.9888535031847
FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9,7.6,9.5,30,218,260.9888535031847
FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.6,8.0,9.4,30,216,260.9888535031847
FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.4,8.4,10.1,28,232,260.9888535031847
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.8,14.2,20,327,260.9888535031847
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS6,X,16.4,12.0,14.4,20,331,260.9888535031847
FORD,EXPLORER,SUV - STANDARD,2.0,4,A6,X,11.9,8.5,10.4,27,239,260.9888535031847
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274,260.9888535031847
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.6,13.0,16.1,18,258,260.9888535031847
FORD,EXPLORER AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.9,10.7,13.0,22,299,260.9888535031847
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.2,10.3,12.5,23,288,260.9888535031847
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,19.2,14.1,16.9,17,270,260.9888535031847
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS6,X,12.2,9.2,10.8,26,248,260.9888535031847
FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,13.7,9.9,12.0,24,276,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,A6,X,13.2,9.6,11.5,25,264,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6,A6,E,17.9,13.0,15.7,18,251,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,15.5,10.6,13.3,21,306,260.9888535031847
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,20.7,14.3,17.9,16,286,260.9888535031847
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,2.7,6,AS6,X,13.3,10.4,12.0,24,276,260.9888535031847
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.2,10.4,12.5,23,288,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,13.9,10.5,12.4,23,285,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,E,18.9,14.2,16.8,17,269,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.0,11.3,13.9,20,320,260.9888535031847
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.7,15.1,18.7,15,299,260.9888535031847
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.7,6.4,7.6,37,175,260.9888535031847
FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.5,6.5,7.6,37,175,260.9888535031847
FORD,FIESTA SFE,SUBCOMPACT,1.0,3,M5,X,7.5,5.5,6.6,43,152,260.9888535031847
FORD,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,X,8.4,6.2,7.4,38,170,260.9888535031847
FORD,FIESTA ST,SUBCOMPACT,1.6,4,M6,X,8.9,6.8,8.0,35,184,260.9888535031847
FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.3,9.5,11.6,24,267,260.9888535031847
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.1,12.1,23,278,260.9888535031847
FORD,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.6,10.4,12.8,22,294,260.9888535031847
FORD,FOCUS,COMPACT,1.0,3,M6,X,8.1,5.9,7.1,40,163,260.9888535031847
FORD,FOCUS,COMPACT,2.0,4,M6,X,10.2,7.3,8.9,32,205,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,AM6,X,8.9,6.2,7.7,37,177,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,AM6,E,11.9,8.5,10.4,27,166,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,AS6,X,9.1,6.3,7.8,36,179,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,AS6,E,12.2,8.6,10.6,27,170,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,M5,X,9.3,6.7,8.1,35,186,260.9888535031847
FORD,FOCUS FFV,COMPACT,2.0,4,M5,E,12.4,9.1,10.9,26,174,260.9888535031847
FORD,FUSION,MID-SIZE,1.5,4,AS6,X,9.9,6.5,8.4,34,193,260.9888535031847
FORD,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.4,6.3,8.0,35,184,260.9888535031847
FORD,FUSION,MID-SIZE,2.0,4,AS6,X,10.5,7.0,8.9,32,205,260.9888535031847
FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.6,7.0,8.9,32,205,260.9888535031847
FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,10.8,7.5,9.3,30,214,260.9888535031847
FORD,FUSION HYBRID,MID-SIZE,2.0,4,AV,X,5.4,5.8,5.5,51,126,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,2.3,4,AS6,X,11.0,7.4,9.4,30,216,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,2.3,4,M6,X,10.6,7.5,9.2,31,212,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,3.7,6,AS6,X,12.6,8.5,10.7,26,246,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,13.5,8.3,11.2,25,258,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,5.0,8,AS6,X,14.9,9.5,12.4,23,285,260.9888535031847
FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.2,9.3,12.5,23,288,260.9888535031847
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,AS6,X,11.6,7.9,9.9,29,228,260.9888535031847
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8,AS6,X,15.4,10.0,13.0,22,299,260.9888535031847
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6,AS6,X,16.6,12.5,14.7,19,338,260.9888535031847
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,X,16.6,12.6,14.8,19,340,260.9888535031847
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,E,22.1,16.7,19.7,14,315,260.9888535031847
FORD,TAURUS,FULL-SIZE,2.0,4,AS6,X,10.5,7.4,9.1,31,209,260.9888535031847
FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.9,9.5,11.9,24,274,260.9888535031847
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.2,8.2,10.4,27,239,260.9888535031847
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17.4,11.3,14.7,19,235,260.9888535031847
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13.0,9.1,11.3,25,260,260.9888535031847
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.8,12.6,16.0,18,256,260.9888535031847
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.6,7.9,9.4,30,216,260.9888535031847
FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.3,8.2,9.9,29,228,260.9888535031847
FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.7,8.4,10.2,28,235,260.9888535031847
FORD,TRANSIT CONNECT WAGON TAXI,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,12.0,8.5,10.4,27,239,260.9888535031847
GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.2,9.9,12.3,23,283,299.9176829268293
GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,299.9176829268293
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.8,10.5,27,242,299.9176829268293
GMC,CANYON,PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.1,10.8,26,248,299.9176829268293
GMC,CANYON,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.0,9.2,11.3,25,260,299.9176829268293
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.5,11.3,25,260,299.9176829268293
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.5,9.8,11.8,24,271,299.9176829268293
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.0,14.2,18.0,16,414,299.9176829268293
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432,299.9176829268293
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432,299.9176829268293
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.3,20.5,25.9,11,414,299.9176829268293
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.1,16,416,299.9176829268293
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437,299.9176829268293
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437,299.9176829268293
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.6,20.6,26.1,11,418,299.9176829268293
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.9,24,274,299.9176829268293
GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.3,17.1,17,274,299.9176829268293
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292,299.9176829268293
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,13.8,17.2,16,275,299.9176829268293
GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14.0,20,322,299.9176829268293
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.1,10.6,12.5,23,288,299.9176829268293
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.2,18.0,16,288,299.9176829268293
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.7,13.0,22,299,299.9176829268293
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.2,14.3,17.5,16,280,299.9176829268293
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,11.6,14.2,20,327,299.9176829268293
GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,299.9176829268293
GMC,TERRAIN FFV,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,299.9176829268293
GMC,TERRAIN FFV,SUV - SMALL,2.4,4,A6,E,15.6,10.8,13.4,21,214,299.9176829268293
GMC,TERRAIN,SUV - SMALL,3.6,6,A6,X,14.2,9.5,12.1,23,278,299.9176829268293
GMC,TERRAIN AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230,299.9176829268293
GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,299.9176829268293
GMC,YUKON,SUV - STANDARD,5.3,8,A6,X,14.9,10.1,12.7,22,292,299.9176829268293
GMC,YUKON,SUV - STANDARD,5.3,8,A6,E,20.2,13.6,17.2,16,275,299.9176829268293
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,299,299.9176829268293
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,282,299.9176829268293
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,A6,Z,16.2,11.4,14.0,20,322,299.9176829268293
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,A8,Z,15.9,11.1,13.8,20,317,299.9176829268293
GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,X,14.9,10.1,12.7,22,292,299.9176829268293
GMC,YUKON XL,SUV - STANDARD,5.3,8,A6,E,20.2,13.6,17.2,16,275,299.9176829268293
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,306,299.9176829268293
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306,299.9176829268293
GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A6,Z,16.8,11.7,14.5,19,334,299.9176829268293
GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A8,Z,16.4,11.7,14.3,20,329,299.9176829268293
HONDA,ACCORD,MID-SIZE,2.4,4,AV,X,8.8,6.5,7.8,36,179,190.2196261682243
HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,9.0,6.7,8.0,35,184,190.2196261682243
HONDA,ACCORD,MID-SIZE,2.4,4,M6,X,10.1,6.9,8.7,32,200,190.2196261682243
HONDA,ACCORD,MID-SIZE,3.5,6,A6,X,11.0,6.8,9.1,31,209,190.2196261682243
HONDA,ACCORD,MID-SIZE,3.5,6,AS6,X,11.4,7.3,9.5,30,219,190.2196261682243
HONDA,ACCORD,MID-SIZE,3.5,6,M6,X,13.0,8.4,10.9,26,251,190.2196261682243
HONDA,ACCORD HYBRID,MID-SIZE,2.0,4,AV,X,4.7,5.3,5.0,56,115,190.2196261682243
HONDA,CIVIC,COMPACT,1.8,4,AV,X,7.9,6.1,7.1,40,163,190.2196261682243
HONDA,CIVIC,COMPACT,1.8,4,AV7,X,8.1,6.2,7.2,39,166,190.2196261682243
HONDA,CIVIC,COMPACT,1.8,4,M5,X,8.6,6.6,7.7,37,177,190.2196261682243
HONDA,CIVIC Si,COMPACT,2.4,4,M6,Z,10.8,7.6,9.4,30,216,190.2196261682243
HONDA,CIVIC HYBRID,COMPACT,1.5,4,AV,X,5.3,5.0,5.2,54,120,190.2196261682243
HONDA,CR-V,SUV - SMALL,2.4,4,AV,X,8.6,6.9,7.8,36,179,190.2196261682243
HONDA,CR-V AWD,SUV - SMALL,2.4,4,AV,X,9.1,7.2,8.3,34,191,190.2196261682243
HONDA,CR-Z,TWO-SEATER,1.5,4,AV7,X,6.6,6.0,6.3,45,145,190.2196261682243
HONDA,CR-Z,TWO-SEATER,1.5,4,M6,X,7.6,6.1,6.9,41,159,190.2196261682243
HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.7,6.4,44,147,190.2196261682243
HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV7,X,7.3,6.1,6.8,42,156,190.2196261682243
HONDA,FIT,STATION WAGON - SMALL,1.5,4,M6,X,8.1,6.4,7.3,39,168,190.2196261682243
HONDA,ODYSSEY,MINIVAN,3.5,6,A6,X,12.3,8.5,10.6,27,244,190.2196261682243
HONDA,PILOT,SUV - SMALL,3.5,6,A5,X,13.3,9.3,11.5,25,264,190.2196261682243
HONDA,PILOT 4WD,SUV - SMALL,3.5,6,A5,X,13.8,9.7,12.0,24,276,190.2196261682243
HYUNDAI,ACCENT,COMPACT,1.6,4,AS6,X,8.9,6.3,7.7,37,177,208.87142857142857
HYUNDAI,ACCENT,COMPACT,1.6,4,M6,X,8.7,6.3,7.6,37,175,208.87142857142857
HYUNDAI,ELANTRA,MID-SIZE,1.8,4,AS6,X,8.5,6.3,7.5,38,172,208.87142857142857
HYUNDAI,ELANTRA,MID-SIZE,1.8,4,M6,X,8.8,6.4,7.7,37,177,208.87142857142857
HYUNDAI,ELANTRA,MID-SIZE,2.0,4,AS6,X,9.7,6.7,8.3,34,191,208.87142857142857
HYUNDAI,ELANTRA,MID-SIZE,2.0,4,M6,X,9.8,7.0,8.5,33,196,208.87142857142857
HYUNDAI,ELANTRA COUPE,MID-SIZE,2.0,4,AS6,X,9.6,6.8,8.3,34,191,208.87142857142857
HYUNDAI,ELANTRA COUPE,MID-SIZE,2.0,4,M6,X,9.7,6.7,8.3,34,191,208.87142857142857
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4,AS6,X,9.7,7.2,8.6,33,198,208.87142857142857
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4,M6,X,9.8,6.9,8.5,33,196,208.87142857142857
HYUNDAI,EQUUS,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306,208.87142857142857
HYUNDAI,GENESIS AWD,FULL-SIZE,3.8,6,AS8,X,14.4,9.4,12.1,23,278,208.87142857142857
HYUNDAI,GENESIS AWD,FULL-SIZE,5.0,8,AS8,Z,17.3,10.5,14.2,20,327,208.87142857142857
HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6,AS8,Z,14.6,9.6,12.3,23,283,208.87142857142857
HYUNDAI,GENESIS COUPE,SUBCOMPACT,3.8,6,M6,Z,14.4,9.9,12.4,23,285,208.87142857142857
HYUNDAI,SANTA FE,SUV - SMALL,3.3,6,AS6,X,12.9,9.4,11.3,25,260,208.87142857142857
HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6,AS6,X,13.0,9.7,11.5,25,264,208.87142857142857
HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,AS6,X,11.7,8.7,10.3,27,237,208.87142857142857
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.0,4,AS6,X,12.9,9.8,11.5,25,264,208.87142857142857
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.4,4,AS6,X,12.5,9.3,11.1,25,255,208.87142857142857
HYUNDAI,SANTA FE ULTIMATE AWD,SUV - SMALL,3.3,6,AS6,X,13.9,10.8,12.5,23,287,208.87142857142857
HYUNDAI,SONATA,FULL-SIZE,2.0,4,AS6,X,10.4,7.4,9.1,31,209,208.87142857142857
HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.8,6.7,8.4,34,193,208.87142857142857
HYUNDAI,SONATA SPORT/LIMITED,FULL-SIZE,2.4,4,AS6,X,9.8,6.7,8.4,34,193,208.87142857142857
HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3,45,145,208.87142857142857
HYUNDAI,SONATA HYBRID LIMITED,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3,45,145,208.87142857142857
HYUNDAI,TUCSON,SUV - SMALL,2.0,4,AS6,X,10.2,8.2,9.3,30,214,208.87142857142857
HYUNDAI,TUCSON,SUV - SMALL,2.0,4,M6,X,11.4,8.5,10.1,28,232,208.87142857142857
HYUNDAI,TUCSON,SUV - SMALL,2.4,4,AS6,X,11.3,8.3,10.0,28,230,208.87142857142857
HYUNDAI,TUCSON AWD,SUV - SMALL,2.0,4,AS6,X,11.4,9.3,10.4,27,239,208.87142857142857
HYUNDAI,TUCSON AWD,SUV - SMALL,2.4,4,AS6,X,11.6,9.3,10.6,27,244,208.87142857142857
HYUNDAI,VELOSTER,COMPACT,1.6,4,AM6,X,8.6,6.6,7.7,37,177,208.87142857142857
HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,9.0,6.7,8.0,35,184,208.87142857142857
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,AS6,X,9.9,7.6,8.8,32,202,208.87142857142857
HYUNDAI,VELOSTER TURBO,COMPACT,1.6,4,M6,X,9.7,7.0,8.5,33,196,208.87142857142857
INFINITI,Q50,MID-SIZE,3.7,6,AS7,Z,12.0,8.1,10.3,27,237,254.0648148148148
INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,12.5,8.7,10.8,26,248,254.0648148148148
INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172,254.0648148148148
INFINITI,Q50 HYBRID AWD,COMPACT,3.5,6,AS7,Z,8.7,7.5,8.2,34,189,254.0648148148148
INFINITI,Q60,SUBCOMPACT,3.7,6,AS7,Z,12.4,8.7,10.7,26,246,254.0648148148148
INFINITI,Q60,SUBCOMPACT,3.7,6,M6,Z,13.6,9.3,11.6,24,267,254.0648148148148
INFINITI,Q60 AWD,SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,264,254.0648148148148
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,AS7,Z,13.6,9.3,11.7,24,269,254.0648148148148
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,M6,Z,14.3,9.8,12.3,23,283,254.0648148148148
INFINITI,Q70,MID-SIZE,3.7,6,AS7,Z,12.8,8.9,11.0,26,253,254.0648148148148
INFINITI,Q70,MID-SIZE,5.6,8,AS7,Z,14.8,9.5,12.4,23,285,254.0648148148148
INFINITI,Q70 AWD,MID-SIZE,3.7,6,AS7,Z,13.2,9.6,11.6,24,267,254.0648148148148
INFINITI,Q70 AWD,MID-SIZE,5.6,8,AS7,Z,15.0,10.2,12.9,22,297,254.0648148148148
INFINITI,Q70 HYBRID,MID-SIZE,3.5,6,AS7,Z,8.0,6.9,7.5,38,172,254.0648148148148
INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,13.7,9.7,11.9,24,274,254.0648148148148
INFINITI,QX60,SUV - SMALL,3.5,6,AV7,Z,11.4,8.5,10.1,28,232,254.0648148148148
INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV7,Z,12.2,8.9,10.7,26,246,254.0648148148148
INFINITI,QX60 HYBRID AWD,SUV - STANDARD,2.5,4,AV7,X,8.9,8.4,8.7,32,200,254.0648148148148
INFINITI,QX70 AWD,SUV - SMALL,3.7,6,AS7,Z,14.6,10.7,12.8,22,294,254.0648148148148
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,16.9,11.9,14.7,19,338,254.0648148148148
JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6,AS8,Z,11.8,8.4,10.3,27,237,267.9875
JAGUAR,F-TYPE COUPE,TWO-SEATER,3.0,6,AS8,Z,11.8,8.4,10.3,27,237,267.9875
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6,AS8,Z,12.2,8.7,10.6,27,244,267.9875
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6,AS8,Z,12.2,8.7,10.6,27,244,267.9875
JAGUAR,F-TYPE V8 R COUPE,TWO-SEATER,5.0,8,AS8,Z,15.0,10.2,12.8,22,294,267.9875
JAGUAR,F-TYPE V8 S CONVERTIBLE,TWO-SEATER,5.0,8,AS8,Z,15.0,10.2,12.8,22,294,267.9875
JAGUAR,XF,MID-SIZE,2.0,4,AS8,Z,12.3,8.2,10.5,27,242,267.9875
JAGUAR,XF AWD,MID-SIZE,3.0,6,AS8,Z,13.9,8.8,11.6,24,267,267.9875
JAGUAR,XFR,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.2,21,304,267.9875
JAGUAR,XFR,MID-SIZE,5.0,8,AS8,E,21.3,14.1,18.1,16,290,267.9875
JAGUAR,XFR-S,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.2,21,304,267.9875
JAGUAR,XJ AWD,FULL-SIZE,3.0,6,AS8,Z,14.6,9.6,12.4,23,285,267.9875
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306,267.9875
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8,AS8,E,20.6,13.6,17.5,16,280,267.9875
JAGUAR,XJL AWD PORTFOLIO,FULL-SIZE,3.0,6,AS8,Z,14.7,9.6,12.5,23,288,267.9875
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306,267.9875
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8,AS8,E,20.6,13.6,17.5,16,280,267.9875
JAGUAR,XJR,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306,267.9875
JAGUAR,XJR LWB,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306,267.9875
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,13.6,21,313,267.9875
JAGUAR,XKR COUPE,MINICOMPACT,5.0,8,AS6,Z,15.6,10.9,13.4,21,308,267.9875
JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,13.6,21,313,267.9875
